"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3237","Attempt to register with missing mandatory fields","chromium","Fri Nov 28 10:16:28 UTC 2025","passed","Fri Nov 28 10:16:31 UTC 2025","Register Account Tests","1-RegisterAccount.test.ts","",""
"","4402","Attempt to edit account without first name","chromium","Fri Nov 28 10:15:48 UTC 2025","passed","Fri Nov 28 10:15:53 UTC 2025","Edit Account Tests","3-EditAccount.test.ts","",""
"","4392","Verifying add blog success when logged in","chromium","Fri Nov 28 10:16:17 UTC 2025","passed","Fri Nov 28 10:16:21 UTC 2025","Blog Page Tests > Add Blog positive tests while user is logged in","6-Blog.test.ts","",""
"","3507","Verifying add blog error message when name is missing","chromium","Fri Nov 28 10:16:24 UTC 2025","passed","Fri Nov 28 10:16:28 UTC 2025","Blog Page Tests > Add Blog negative tests while user is NOT logged in","6-Blog.test.ts","",""
"","4934","Attempt to register as an affiliate without agreeing to terms in Bank Transfer payment method","chromium","Fri Nov 28 10:16:49 UTC 2025","passed","Fri Nov 28 10:16:54 UTC 2025","Affiliation Registration tests > Negative tests for Affiliate Registration","7-Affiliate.test.ts","",""
"","3310","Logout after login","chromium","Fri Nov 28 10:15:37 UTC 2025","passed","Fri Nov 28 10:15:40 UTC 2025","Ecommerce Smoke Tests","2-Login.test.ts","",""
"","2603","Attempt to register with invalid email format","chromium","Fri Nov 28 10:16:22 UTC 2025","passed","Fri Nov 28 10:16:25 UTC 2025","Register Account Tests","1-RegisterAccount.test.ts","",""
"","4160","Login with valid credentials","chromium","Fri Nov 28 10:15:29 UTC 2025","passed","Fri Nov 28 10:15:33 UTC 2025","Ecommerce Smoke Tests","2-Login.test.ts","",""
"","3041","Login with invalid credentials","chromium","Fri Nov 28 10:15:34 UTC 2025","passed","Fri Nov 28 10:15:37 UTC 2025","Ecommerce Smoke Tests","2-Login.test.ts","",""
"","3574","Register a new account successfully","chromium","Fri Nov 28 10:15:29 UTC 2025","passed","Fri Nov 28 10:15:33 UTC 2025","Register Account Tests","1-RegisterAccount.test.ts","",""
"","3435","Verifying add blog success message","chromium","Fri Nov 28 10:16:21 UTC 2025","passed","Fri Nov 28 10:16:24 UTC 2025","Blog Page Tests > Add Blog positive tests while user is NOT logged in","6-Blog.test.ts","",""
"","4956","Attempt to register as an affiliate without paypal email account","chromium","Fri Nov 28 10:16:49 UTC 2025","passed","Fri Nov 28 10:16:54 UTC 2025","Affiliation Registration tests > Negative tests for Affiliate Registration","7-Affiliate.test.ts","",""
"","4758","Attempt to register as an affiliate without agreeing to terms in PayPal payment method","chromium","Fri Nov 28 10:16:44 UTC 2025","passed","Fri Nov 28 10:16:49 UTC 2025","Affiliation Registration tests > Negative tests for Affiliate Registration","7-Affiliate.test.ts","",""
"","4595","Validate affiliate registration for bank transfer payment method","chromium","Fri Nov 28 10:16:40 UTC 2025","passed","Fri Nov 28 10:16:44 UTC 2025","Affiliation Registration tests > Negetive tests for Affiliate Registration","7-Affiliate.test.ts","",""
"","3862","Change password successfully","chromium","Fri Nov 28 10:15:57 UTC 2025","passed","Fri Nov 28 10:16:01 UTC 2025","Change Password Test","4-ChangePassword.test.ts","",""
